timestep,reward
2048,-6.087878787878788
4096,-6.204545454545454
6144,-6.010999999999999
8192,-5.494
10240,-5.226
2048,-4.876190476190476
4096,-4.67816091954023
6144,-4.352
8192,-4.227
10240,-4.0360000000000005
12288,-3.8110000000000004
14336,-3.6180000000000003
16384,-3.4779999999999998
18432,-3.2620000000000005
20480,-3.239
22528,-3.115
24576,-3.0970000000000004
26624,-3.1129999999999995
28672,-3.0269999999999997
30720,-2.8960000000000004
32768,-2.7920000000000003
34816,-2.7560000000000002
36864,-2.713
38912,-2.666000000000001
40960,-2.5770000000000004
43008,-2.585
45056,-2.506
47104,-2.4640000000000004
49152,-2.4149999999999996
51200,-2.363
53248,-2.3489999999999993
55296,-2.2659999999999996
57344,-2.244
59392,-2.2129999999999996
61440,-2.2079999999999997
63488,-2.208
65536,-2.174
67584,-2.15
69632,-2.133
71680,-2.124
73728,-2.087
75776,-2.08
77824,-2.072
79872,-2.0620000000000003
81920,-2.075
83968,-2.055
86016,-2.0370000000000004
88064,-2.028
90112,-2.022
92160,-2.0020000000000002
94208,-1.994
96256,-2.006
98304,-1.994
100352,-1.99
